SingleFamily,MultiFamily,Mobile,ResUpkeep,NonResExcRail,RailwoodTies,RailCarRepair,HouseFurniture,CommericalFurniture,OtherManuf,Shipping,OtherLumber,OtherUses
10639742.1,4975509.341,0,2456591.229,1395167.306,1136584.291,99640.56816,1585070.894,258374.7797,1313796.93,5262154.926,5963435.705,21749255
11063709.22,5173816.464,26986.00937,2584501.369,1455288.187,1185591.235,103936.8441,1657596.407,270193.0802,1373914.921,5471347.495,6217315.07,22196157.5
11487107.94,5370958.068,56333.57803,2714864.421,1515845.848,1234232.464,108201.059,1730285.924,282136.1528,1434044.952,5678500.196,6469959.215,22717543.75
11913243.91,5569397.148,88081.8131,2848372.048,1577156.024,1283482.651,112518.6593,1804176.168,294276.3315,1495168.467,5886967.714,6725533.826,23462381.25
12335546.06,5766061.112,122205.5123,2983479.005,1638352.792,1332636.589,116827.8216,1878279.641,306452.6196,1556467.011,6093501.205,6980341.514,23834800
12450857.91,5817412.708,155713.1276,3046257.369,1659382.693,1347589.318,118138.6777,1905120.433,311129.2166,1578333.284,6144800.913,7057819.685,24430670
13151354.31,6140789.493,199976.2233,3254878.414,1759106.45,1425217.152,124944.052,2021479.063,330598.3966,1674143.386,6482048.077,7464892.227,26814150
13115706.78,6123366.765,233852.5773,3282983.041,1760156.67,1425316.407,124952.7534,2027010.628,331609.7591,1678589.644,6462092.398,7462521.655,31432142.5
11942689.75,5573997.415,245318.3868,3023329.037,1608300.808,1300772.62,114034.4134,1855234.177,303730.3937,1536058.526,5879932.994,6808965.092,28750727.5
12619963.14,5889224.219,293248.3392,3230750.045,1705247.814,1378303.563,120831.2935,1971099.203,322825.2333,1631830.89,6210755.182,7212202.576,30538337.5
12575756.11,5866833.778,327101.1717,3255682.885,1705614.789,1376638.694,120685.34,1974378.856,323595.4592,1634301.128,6184514.097,7202058.598,30910756.25
12096467.73,5644258.085,345934.4435,3166264.279,1646112.376,1329119.993,116519.5334,1910525.303,313012.787,1581645.854,5949972.419,6948954.585,30091435
12600391.95,5879900.633,393555.0605,3334545.508,1720509.646,1389284.558,121793.9609,2001730.541,327902.6616,1657263.285,6197947.033,7259415.619,30016951.25
12269382.13,5725026.385,416675.0454,3282725.449,1681312.101,1356850.423,118950.568,1960007.028,321132.8698,1622691.535,6033357.693,7087032.252,29719016.25
11244202.57,5244698.794,414776.1723,3041699.738,1546939.393,1246105.413,109241.921,1805360.679,296067.3158,1494382.386,5524256.944,6507890.563,28676243.75
10147050.31,4731502.513,403961.8767,2775069.252,1401570.688,1127135.225,98812.19995,1637678.105,268772.9901,1355399.647,4981360.676,5885589.271,28080373.75
10935737.79,5099489.321,465390.8525,3023093.832,1515658.937,1218833.513,106851.0841,1775155.819,291322.9437,1469223.195,5368132.539,6361072.74,28750727.5
9684801.67,4514289.573,441850.0574,2706530.281,1347981.097,1081594.791,94819.82144,1580021.576,259568.7218,1307468.867,4749241.178,5644592.956,28750727.5
8653265.929,4030953.3,423240.9539,2444731.449,1209929.55,967754.588,84839.82907,1418402.404,233385.0051,1173358.402,4237179.134,5051414.101,28601760
9413307.647,4384837.192,487945.5495,2687863.762,1320807.461,1056065.542,92581.75696,1551718.748,255372.1977,1283588.012,4608114.4,5509961.511,28527276.25
9505342.266,4431495.014,512267.8337,2742179.453,1337118.447,1072588.953,94030.30954,1577893.154,259130.1187,1305978.565,4660638.464,5588648.216,28154857.5
7785413.727,3627425.897,444897.7779,2270336.888,1101018.807,879816.576,77130.59576,1298516.231,213559.1208,1074568.636,3811688.037,4585305.735,25622410
9376504.213,4369087.216,562810.6787,2762967.471,1330257.302,1063333.739,93218.93562,1573015.237,258685.9739,1301721.457,4590566.245,5538570.582,25249991.25
10944989.49,5098808.854,692266.9109,3259163.304,1558452.549,1244466.713,109098.2616,1846052.41,303804.3038,1527373.029,5354891.326,6480403.505,25398958.75
10590640.06,4932780.109,702398.1704,3186808.819,1514400.06,1207470.494,105854.926,1795961.987,295713.1112,1485879.069,5178334.879,6286283.361,24654121.25
10907319.79,5075805.479,767675.7339,3317369.323,1567602.752,1244437.563,109095.7061,1857898.736,306664.5878,1536255.177,5321744.402,6482001.525,22270641.25
10596689.55,4927764.747,786304.2828,3257244.372,1531056.473,1210476.419,106118.4454,1813479.078,299910.8426,1498997.792,5160902.98,6307396.878,22196157.5
9955717.05,4623534.094,785931.1392,3093589.482,1447928.725,1136544.34,99637.06577,1710341.625,283892.5605,1412685.279,4833043.343,5928643.595,21376836.25
9764332.541,4533228.102,804681.3218,3065761.343,1426982.496,1117377.388,97956.76274,1686356.643,280166.1607,1392751.172,4735488.255,5828432.969,20631998.75
10403365.14,4822201.666,904972.0571,3302281.169,1534630.243,1188878.128,104224.9951,1802794.583,300683.8779,1488362.409,5025678.27,6211305.467,20557515
7889554.705,3655200.951,715876.1548,2530468.37,1170307.432,903314.9104,79190.61665,1374105.46,229496.1757,1134299.089,3805821.993,4720378.925,17801616.25
5376999.828,2486785.618,519703.2749,1743627.162,804051.9075,614483.6641,53869.74102,939705.0638,157737.7625,774914.468,2582266.986,3216627.686,14449847.5
3666055.215,1687834.836,379062.3396,1203327.927,560231.0152,414750.8112,36359.82548,640009.4335,108548.4682,527536.0386,1741437.468,2183497.869,12364302.5
4592395.377,2118818.074,474045.3105,1520915.898,701595.7629,524658.3142,45995.05107,808623.5701,136333.4213,667517.2277,2191812.07,2753817.464,12438786.25
5091476.856,2350196.767,539168.2906,1702692.949,780089.3497,584471.7709,51238.69807,902277.024,151952.191,745053.152,2431861.564,3064744.74,12736721.25
6112368.928,2824376.559,662418.583,2063526.81,936621.9804,706222.5053,61912.1804,1091160.372,183350.7705,901197.9783,2925628.851,3696533.161,13332591.25
7331007.301,3385461.517,812813.8631,2499806.143,1132821.566,848435.3228,74379.50557,1314684.919,221046.9251,1086592.265,3503090.658,4443216.189,14524331.25
7678375.076,3544749.446,886272.2717,2644818.567,1191405.086,890792.148,78092.78769,1384594.807,233141.9602,1143865.723,3664560.937,4664973.209,15194685
6573017.923,3027609.017,814077.9301,2289664.633,1029675.922,759955.6286,66622.78478,1189038.263,201672.759,980690.9504,3117538.156,3990136.208,13705010
7596879.186,3494403.191,950880.5114,2672638.609,1206401.306,877790.7199,76952.99569,1378270.532,234047.7634,1138611.781,3590769.898,4616790.739,14375363.75
8171653.664,3755525.666,1066720.979,2904549.757,1306251.209,944943.2251,82840.03269,1489651.742,253680.0747,1230013.113,3851886.893,4974105.199,14375363.75
9712030.776,4442715.524,1387531.911,3495400.376,1581882.379,1111073.192,97404.09484,1770584.964,305654.1281,1458623.32,4519997.164,5885143.897,15343652.5
9763855.575,4449477.029,1499799.466,3556282.569,1617264.463,1107852.097,97121.71215,1782063.16,311038.9924,1465623.798,4495568.617,5898833.546,14896750
9280272.894,4235404.86,1489937.851,3413757.833,1530501.016,1061344.745,93044.56719,1709489.027,298198.1679,1403626.472,4283728.993,5637147.494,13705010
8993887.887,4103355.643,1489150.396,3341664.62,1492043.154,1031102.298,90393.31235,1666069.126,291044.6034,1367765.731,4144661.279,5477961.108,13481558.75
7740444.434,3526317.442,1360603.544,2908488.068,1294414.873,886429.8091,77710.35593,1441081.792,253339.0598,1180887.099,3548381.94,4718724.268,12587753.75
9218924.799,4216653.911,1604412.263,3490630.198,1526703.489,1072439.451,94017.20313,1735746.021,302115.7442,1424036.181,4268554.158,5673834.658,13258107.5
9478618.698,4322149.384,1693841.519,3626487.827,1599753.545,1096192.106,96099.51947,1786092.752,312745.6648,1466749.94,4351929.501,5824772.652,14002945
9839890.849,4482487.89,1840581.729,3805213.756,1673319.263,1138469.154,99805.80781,1864116.327,327821.7575,1529166.431,4500277.054,6057516.969,12662237.5
8486367.861,3879635.347,1497571.602,3285352.653,1489619.462,946443.8443,85981.70926,1604834.496,280153.463,1303029.565,3821517.476,5236300.306,11098078.75
10021502.46,4605047.435,1611261.063,3874851.384,1805359.705,1081713.601,101949.9086,1890693.424,324588.577,1523661.03,4460259.753,6208933.211,11470497.5
10128099.06,4641030.985,1745701.63,3954428.705,1911444.739,1031083.256,100937.5829,1906387.351,334875.9237,1508202.865,4361889.714,6241640.485,10874627.5
10168969.04,4673331.126,1714389.496,3984993.864,1973614.326,992706.89,101070.5327,1914887.204,336106.0665,1495378.002,4302753.793,6280867.804,10427725
10193905.35,4680159.239,1696804.821,4022651.063,2062377.712,941755.693,99859.34081,1914286.703,339762.7454,1475868.47,4201940.927,6282686.896,10055306.25
10139838.32,4668852.475,1646343.964,4019142.577,2105756.08,895893.0532,99084.1112,1907213.748,338726.9054,1451193.473,4108778.958,6267682.553,9757371.25
10735552.45,4926536.54,1710662.238,4299355.227,2338594.741,888568.8554,102669.3152,2013560.414,364841.2502,1513923.319,4222814.673,6613047.182,9384952.5
11015749.78,5076560.091,1698691.828,4428607.131,2448050.061,872873.0926,105552.2524,2073263.29,374627.2949,1538624.768,4273785.857,6819502.008,9012533.75
9555348.783,4388955.573,1433517.387,3888367.224,2221667.375,706910.2672,89635.81145,1798465.993,332436.3018,1319172.118,3606284.87,5905498.742,8640115
9872519.769,4532590.168,1427101.09,4056492.444,2375968.772,686611.5306,91483.325,1862181.733,348829.5685,1350393.053,3646684.427,6111229.199,8342180
11091506.12,5100918.558,1537129.545,4591668.347,2741715.493,728475.3679,102226.2271,2098748.372,395451.2219,1504839.34,4025838.57,6891113.424,7969761.25
10043424.1,4619097.919,1324532.105,4195300.966,2562800.342,618397.7781,91630.35905,1901822.782,361217.1075,1352203.276,3568999.31,6253279.066,7597342.5
10021527.53,4598256.761,1258531.412,4250272.618,2656210.039,572266.8084,89788.95625,1911776.414,372694.0539,1343146.334,3488780.59,6258541.452,7299407.5
10520399.81,4831555.738,1250998.265,4512952.284,2865645.64,561119.0339,93519.83899,2024120.019,400500.2205,1404242.709,3608499.575,6607298.127,6926988.75
11382464.42,5020711.159,1351057.011,5148886.983,3098193.141,595843.2584,98533.20637,2185690.061,455390.3695,1541357.107,3863677.32,6926293.182,7671826.25
12154011,5140796.851,1440436.112,5783096.174,3309064.713,623142.8139,102247.6225,2333608.541,514230.1367,1671216.064,4082366.453,7162566.71,8044245
13144655.44,5349021.411,1565573.346,6507250.692,3529501.292,670640.4789,109164.5856,2501023.655,563630.0115,1823599.622,4376504.595,7495523.777,8342180
13401219.57,5219419.269,1596432.385,6929289.871,3589917.074,670913.7567,108356.7047,2544676.52,602277.7531,1884910.971,4412467.81,7387812.656,8416663.75
13309630.71,4959379.922,1589252.487,7171032.647,3549386.99,655296.5128,104992.2051,2528438.255,628937.4083,1899735.934,4342018.632,7095992.129,7671826.25
13990632.52,4948335.966,1663832.454,7868314.526,3774727.645,662325.6723,105389.8187,2663538.327,717451.0281,2036942.942,4473176.897,7184165.841,7671826.25
13723294.15,4647051.816,1647403.337,8033613.852,3672192.596,643278.0012,101452.6473,2653262.129,761591.3228,2045685.71,4384149.653,6843192.411,8938050
13543576.89,4355816.418,1627571.418,8189125.679,3618265.57,619336.801,96986.50864,2598253.646,779364.2159,2042641.49,4246239.44,6488194.405,9712681
14813569.88,4510203.245,1785858.774,9288893.074,3987717.037,652769.317,101543.6629,2866752.356,933166.5142,2291261.464,4554282.193,6832629.815,8967843.5
15873545.37,4570987.543,1924399.948,10296792.41,4296205.333,675021.916,104326.7695,3100272.493,1090212.561,2519644.362,4783354.897,7044886.438,7701619.75
16344683.26,4475136.581,2001759.869,10926733.1,4373510.394,690393.2538,105744.1914,3211706.133,1175787.347,2643067.953,4894539.08,6997275.454,7373891.25
14518607.3,3774926.779,1794495.981,9972880.233,3820725.583,613902.3223,93114.71111,2851527.587,1067068.312,2375985.29,4330456.728,5983253.011,6375809
13769344.35,3362651.442,1705078.392,9630349.073,3578311.897,570798.8312,86059.60961,2635197.112,995910.0241,2243306.433,4013106.498,5393603.168,5735248.75
15681069,3598043.095,1960660.833,11275569.96,4069659.357,633236.0753,94794.75712,3028227.876,1218655.574,2618094.214,4488939.033,5888082.125,5586281.25
16696896.02,3602673.709,2110898.586,12346454.08,4299276.479,667033.1456,98914.9247,3261855.085,1375666.862,2854102.985,4738798.764,6020409.374,5735248.75
17303715.88,3491869.416,2205856.134,13093746.71,4406523.471,683302.1566,100456.277,3376538.188,1468775.142,2996935.021,4850478.045,5956738.41,5884216.25
17364576.64,3265295.134,2225340.257,13405090.98,4340741.641,684951.9393,99713.51842,3350165.055,1466011.951,3012575.49,4833256.085,5688547.291,6033183.75
15158302.79,2650104.985,1956456.912,11987369.24,3727047.725,600447.6768,86365.02515,2929017.721,1300151.685,2659055.649,4217159.385,4739337.045,6182151.25
14027295.29,2243875.268,1826007.528,11235524.65,3441126.861,529550.9478,76081.57159,2668624.911,1249609.484,2481807.444,3745494.391,4119178.579,6331118.75
14056099.39,2059876.572,1833109.354,11454328.4,3367254.219,534046.2897,75849.33612,2626052.804,1213192.281,2468344.399,3749938.498,3899898.818,6480086.25
17112712.36,2275977.096,2253992.417,14171852.85,4069386.207,631300.0483,89213.64501,3180383.248,1536122.476,3043684.652,4445157.37,4464892.432,6629053.75
18370400.82,2201935.279,2429674.024,15489916.99,4287965.717,677163.2799,94633.63919,3381001.375,1639184.606,3270688.552,4750495.302,4509714.415,6778021.25
18636623.9,1988317.556,2483782.073,15914164.07,4294396.47,669934.7294,93148.04867,3381393.328,1685803.893,3328676.41,4703182.676,4267882.513,6926988.75
20631181.36,1930536.136,2753664.754,17831366.82,4651033.633,736248.8573,101464.712,3653694.149,1808825.854,3644426.296,5157260.035,4392577.423,7075956.25
22133719.76,2070081.627,2922471.547,18803522.78,4994498.606,777575.5624,109421.6814,4002021.943,1998035.111,3902722.465,5614725.382,4911334.498,7373891.25
22608497.52,2116797.623,2964127.512,18871041.21,5130520.875,773595.3235,111488.8528,4195770.881,2152943.944,4011842.284,5770758.519,5220781.357,7597342.5
22455374.15,2106726.85,2925716.123,18459829.46,5131441.162,751631.8321,110822.8297,4306170.219,2273474.01,4030125.214,5793432.233,5411267.531,8267696.25
21896148.78,2055352.538,2831931.388,17629697.35,5028391.674,708774.4394,107384.0035,4283965.297,2319371.415,3942713.263,5656394.54,5460820.989,8371973.5
20149837.91,1898037.429,2600161.741,15951155.44,4674478.694,629933.2671,98035.99785,4093963.968,2328036.393,3697598.759,5211234.183,5239048.247,8208109.25
20880101.3,1967827.337,2675457.34,16147633.16,4864553.313,626260.5969,100479.0633,4318249.453,2527139.102,3844081.934,5378319.764,5593039.855,8139584.2
20766955.21,1961903.032,2650707.967,15734164.75,4872949.868,598395.0042,98921.59965,4427073.189,2700805.302,3874815.763,5339259.192,5767785.797,7703407.36
21276530.36,2013943.218,2701610.943,15795749.84,5022551.942,591718.4716,100758.5541,4668306.53,2939667.338,4013472.77,5486590.464,6127977.238,5973596.75
20920998.3,1977150.406,2623454.605,15124313.93,4935415.016,558634.0917,98342.1922,4610165.83,2914305.74,3916092.616,5391028.567,6142781.427,5765042.25
21391448.34,2024324.218,2665773.195,15087662.06,5064783.301,544779.1795,99261.04887,4819352.768,3150971.564,4036019.325,5483546.943,6460165.657,5094688.5
21728768.76,2057338.096,2682278.037,15015242.67,5165939.486,539067.3336,101271.8933,5001950.584,3286289.113,4113434.518,5648180.352,6780667.069,4915927.5
21688161.96,2054529.692,2653530.289,14617225.95,5168997.407,515468.6232,100351.8222,5080392.17,3397795.79,4119651.607,5642445.273,6942167.743,4543508.75
22349516.86,2117807.036,2735588.543,15099195.15,5334971.28,535494.9615,104042.9424,5255805.742,3499006.683,4251528.698,5854710.041,7189587.828,4439231.5
22265554.85,2110639.067,2728811.677,15017070.48,5312472.97,529235.5972,102998.8941,5241233.005,3528720.181,4244756.434,5793117.717,7152916.983,4469025
21090718.83,1994963.842,2569972.234,14216534.47,5018745.431,504507.6083,98137.62831,4893748.4,3203313.032,3973270.122,5517125.373,6715230.606,4760256.463
21616235.66,2046319.283,2640233.755,14555104.11,5145496.742,513297.8517,99980.736,5037352.684,3348499.423,4090791.111,5619383.441,6891144.867,4728973.288
21175889.31,2004444.537,2586338.374,14239657.13,5036695.269,500450.4987,97590.2892,4926230.731,3286196.132,4005723.33,5482600.762,6733825.157,4737166.5
22225601.19,2104332.534,2714792.864,15000324.28,5297828.918,532194.9008,103454.6898,5194694.517,3431296.303,4209072.807,5819103.424,7116359.009,4737166.5
22381131.88,2118070.804,2730464.736,15100700.53,5331329.876,536281.2287,104254.6038,5213996.961,3425156.737,4227687.526,5863169.759,7150250.476,4737166.5
21872532.23,2069923.591,2668067.652,14767705.54,5211991.45,525493.4507,102095.2103,5098219.249,3340244.239,4131256.285,5742981.599,6995390.36,4766960
20576107.2,1945949.454,2506710.073,13848097.14,4891418.575,489599.5796,95361.60782,4762714.981,3127770.589,3872995.287,5358260.792,6530570.735,4841443.75
16700548.84,1582130.87,2047312.83,11127414.4,3957082.233,379373.6183,74644.72659,3876098.214,2702045.022,3175563.421,4181116.68,5248000.141,4320057.5
14044226.62,1333747.677,1730214.854,9457074.773,3354896.279,329323.784,64240.70243,3340421.82,2317394.222,2704711.995,3612199.486,4530746.654,4372196.125
14395414.86,1364255.296,1766008.889,9607917.522,3415278.657,328740.0275,64589.66874,3353835.415,2335324.877,2742492.9,3620166.169,4542529.976,4379644.5
15284044.14,1448152.82,1870603.255,10314694.89,3645980.506,364833.4382,70948.91698,3588798.853,2395317.689,2906124.885,3991020.048,4906397.79,4379644.5
15731549.15,1487813.407,1916852.583,10579604.17,3738372.743,373204.0322,72740.60789,3639497.993,2397525.62,2961593.308,4086221.056,4987179.647,4379644.5
16841859.86,1588899.241,2039035.47,11304509.27,3987386.353,400499.6861,78103.94516,3827625.21,2449279.233,3127633.155,4383403.481,5273260.257,4379644.5
17293409.58,1633970.675,2101161.003,11648868.29,4108669.695,414386.6548,80614.95451,3981556.781,2571150.322,3238054.096,4530385.706,5477356.587,4469025
17975067.94,1700419.977,2190025.106,12146325.81,4283268.502,433892.4043,84222.35679,4182122.211,2716255.349,3387569.474,4738616.306,5748310.346,4469025
18656696.64,1766860.338,2278867.451,12643648.31,4457822.265,453387.9132,87828.32948,4382549.743,2861224.495,3537013.557,4946750.035,6019089.304,4469025
19338298.89,1833292.729,2367690.397,13140850.42,4632335.866,472874.2918,91433.02758,4582854.327,3006072.492,3686394.075,5154797.394,6289712.413,4469025
20019877.45,1899717.982,2456495.974,13637944.73,4806813.508,492352.4955,95036.58444,4783048.828,3150812.015,3835717.679,5362767.421,6560195.98,4469025
20701434.73,1966136.82,2545285.937,14134942.15,4981258.828,511823.3507,98639.11546,4983144.375,3295454.033,3984990.124,5570667.935,6830554.115,4469025
20978758.96,2006327.021,2624957.675,14425710.82,5104850.333,518637.0573,99649.00588,5299779.554,3738618.04,4189723.524,5645354.008,7173638.801,4469025
22965032.25,2187147.541,2850478.676,15481991.87,5506358.919,534725.0965,104342.8857,5566276.269,3986199.269,4491122.866,5871561.722,7500213.454,7895277.5
23100782.78,2199800.495,2866476.877,15569580.84,5537427.664,537626.7471,104926.9476,5593652.047,4003055.451,4514694.44,5903842.466,7538072.615,7895277.5
23300379.92,2218144.693,2889290.137,15691468.05,5581130.437,541213.609,105689.7147,5627767.909,4023586.942,4546608.407,5944958.307,7585177.946,7895277.5
23461533.87,2233022.075,2907926.291,15790416.14,5616697.575,544116.376,106305.1186,5656524.674,4042042.281,4573099.625,5978220.232,7624454.961,7895277.5
23503869.03,2237145.208,2913577.022,15816329.06,5626621.071,544653.0437,106428.2399,5667474.988,4054148.861,4582437.617,5984858.076,7637403.226,7895277.5
23475337.52,2234937.781,2911639.692,15803354.39,5622334.491,544331.2836,106338.6544,5670491.001,4062250.505,4582381.437,5980775.909,7639289.52,7895277.5
23526753.21,2239849.571,2918222.288,15832929.25,5633775.293,544820.5641,106465.9685,5681716.343,4074969.257,4592698.977,5987318.496,7652357.065,7895277.5
23549275.93,2242254.947,2921851.351,15850814.93,5640389.667,545452.5497,106578.6673,5692103.19,4085864.349,4599933.429,5994088.96,7665053.687,7895277.5
23630879.52,2249917.971,2931770.394,15899944.51,5658580.481,546660.0778,106848.1655,5708443.867,4100185.455,4614799.742,6008488.827,7685816.166,7895277.5
23715901.23,2257860.382,2942007.675,15949465.69,5677113.86,547732.8565,107102.1266,5724323.418,4114788.642,4629859.941,6021761.656,7705645.382,7895277.5
23973696.48,2281522.507,2971671.1,16096362.73,5731551.4,550962.3521,107877.9335,5764840.007,4147080.492,4670936.672,6061775.174,7757999.723,7895277.5
24077469.11,2291274.119,2984558.261,16150258.8,5753136.174,551322.5568,108044.5565,5783237.847,4171067.792,4690078.649,6069122.914,7777887.822,7895277.5
24189882.89,2301968.916,2998692.8,16218447.41,5778671.65,552916.8587,108402.4054,5808100.745,4195112.777,4712081.047,6088319.215,7808617.373,7895277.5
24373506.59,2318807.891,3020047.877,16313472.38,5815650.358,553923.9191,108761.7495,5833929.852,4223815.744,4741352.343,6104755.673,7838327.972,7895277.5
24469850.93,2327964.66,3032272.259,16367010.44,5836614.799,554631.7839,108970.0724,5853668.987,4247284.514,4760199.999,6115064.509,7860777.869,7895277.5
24653995.08,2345272.316,3054476.284,16485894.2,5879170.842,558433.3179,109739.0362,5893117.088,4274936.246,4793767.257,6157602.876,7913992.714,7895277.5
24780804.26,2357431.387,3070491.615,16571789.16,5909877.171,561359.2504,110309.393,5925275.992,4299435.233,4819466.143,6189778.032,7956747.45,7895277.5
24904012.42,2369289.287,3086161.061,16656813.41,5940120.026,564371.5814,110887.9518,5957678.931,4323703.999,4844893.773,6222622.009,8000047.301,7895277.5
25076607.96,2385559.8,3107122.082,16768919.05,5980264.633,567978.6771,111614.2085,5995618.573,4350803.722,4876877.607,6262904.399,8051051.421,7895277.5
25309609.68,2407118.589,3134351.186,16908057.8,6031106.834,571592.6386,112415.6481,6036830.468,4381653.288,4915790.978,6305559.157,8105430.115,7895277.5
25555998.71,2429993.537,3163240.418,17061232.98,6086187.935,576159.6203,113373.0029,6083396.933,4412967.663,4957683.555,6357620.43,8168551.696,7895277.5
25760068.93,2449090.723,3187604.074,17191302.54,6132811.808,580227.2533,114205.2668,6125300.532,4441902.283,4993992.864,6403404.013,8225189.71,7895277.5
25989713.18,2470469.285,3214701.767,17335172.42,6184512.39,584576.0714,115110.0799,6169949.33,4472326.79,5033661.658,6452789.283,8285600.613,7895277.5
26181564.35,2488416.934,3237650.978,17455198.95,6227916.08,588099.1137,115847.5827,6208593.004,4500783.531,5067772.341,6493023.126,8337036.922,7895277.5
26384204.25,2507323.538,3261747.846,17580826.26,6273411.471,591714.1453,116611.7813,6248275.367,4529895.273,5103266.019,6534527.834,8389851.337,7895277.5
26533683.53,2521641.669,3280453.599,17686247.8,6310328.254,595745.8466,117371.6475,6287160.618,4555585.74,5133318.362,6577890.135,8443274.002,7895277.5
26747498.85,2541578.144,3305808.971,17819680.98,6358457.454,599692.5826,118198.0827,6329082.22,4585305.803,5170611.173,6622917.876,8499515.591,7895277.5
26944772.34,2559928.938,3329192.052,17937944.5,6401858.344,602717.2236,118869.2131,6365664.922,4614407.99,5204631.156,6658707.259,8547135.529,7895277.5
27168838.96,2580825.839,3355731.509,18079411.45,6452606.54,607071.4633,119767.8445,6410144.209,4644648.527,5243731.759,6707930.184,8607389.658,7895277.5
27374526.5,2599642.514,3378980.252,18203467.68,6497118.204,610643.9415,120537.2724,6443462.239,4663881.652,5275683.137,6749142.57,8653646.334,7895277.5
