"1a","1b","2a","2b","3","4","5","6","7"
"1",13128.8248969649,18601.5671113908,14939.8548397372,18812.3308997757,11551.7465689428,15667.4724211883,144434.605011013,108588.487150412,110682.4192715
"2",15717.7391691724,17005.5189498869,16334.4294620038,17426.6448316005,12855.6356481045,16032.2102327352,139388.539671635,103488.706967945,105627.46537803
"3",16956.7232675075,17626.5829232357,14971.2210484298,17949.0113775928,14511.7392076466,14788.17333511,134553.677045981,99693.936727774,101633.444619958
"4",18220.9725494064,17220.9276874873,15929.569564103,17479.0596376746,15684.9686353181,15665.3700168952,134750.373615889,99328.0719974178,101341.744414111
"5",17306.8632519576,17051.4656565253,15064.9546806092,17228.9899871337,16712.3198858557,17265.8859777949,137026.511760845,102114.616760422,104732.567093102
"6",17018.0011263567,16347.531752535,14092.1408057964,16513.0680687227,16690.6689288422,16732.9190956787,134477.267837343,101069.484791615,103872.058962824
"7",18755.6289785913,17090.1040721729,14740.1176817634,17262.7438670866,17983.1217086878,16876.8967792225,135438.726227342,100699.218106043,103435.864678492
"8",19653.6772691103,17769.3677025341,13403.9480598472,17738.3551620707,18994.1534192168,15056.8519105662,134206.109692921,100720.366229927,103063.806471003
"9",21444.2277038791,18662.3014758141,14145.555766135,18358.7275490893,20599.0997870443,15245.3348504709,134192.959584102,99440.1953409821,101688.676268878
"10",19999.5153742091,18508.2918850058,12840.0597911221,17969.6141443323,21857.5031919232,16184.6314484861,133694.048218522,100859.112702744,102884.374283067
"11",16491.4294087983,17610.2386392376,8713.21956512818,16780.9788080017,22051.4549832311,15336.174981818,127896.00943206,100509.621385437,102401.81105893
"12",17413.829817792,18235.446752712,9565.67339782106,17212.9066681616,23209.9161158359,15743.9876104697,126866.063267135,98682.7152019973,100087.483201153
"13",16986.4185315174,17325.9648634675,9452.50336113641,16174.9693922167,23706.9348626839,16302.5900423451,126477.257659275,99569.2190846285,100849.784905922
"14",21409.1982566469,17643.5030193321,12079.9085016433,16274.8538466599,26427.5841193164,16952.9712069564,131737.713425277,102159.625061658,103382.951076974
"15",20989.8918654238,17765.2200939101,11710.8848815247,16293.6172129135,26792.5071081523,17312.4891153641,132481.610576127,103206.516609581,104477.108481688
"16",19082.7520889162,18586.7923188251,12095.2626630569,17268.2310639631,25442.3888671557,18835.6798470695,129528.831605916,98465.9962182611,100165.337878896
"17",13091.5426006771,18307.9715653768,10639.0036708434,17387.187337252,21649.515947386,20656.5872429751,123639.746539166,93233.1610775232,95613.5555310707
"18",2420.14917215043,17510.5449001042,3864.02978353343,17089.6777709437,16981.7052447598,21158.5435339286,106096.027972968,81988.4956115443,85142.3204184905
"19",-5103.8429804886,16641.5901342393,-1820.66173300291,16646.3823611628,13114.8932168423,20616.4238216824,96032.0705923081,76992.7928337172,81206.3499641482
"20",-2895.93874199465,16300.8516410789,-59.188916733147,16572.7114482076,14161.4913088312,22419.9125178733,97555.3541209846,75892.0200128583,81041.8315895101
"21",-1887.23899138881,16171.2825009431,1998.34355877824,16804.3534630161,13922.967134174,24671.9203730877,100848.200788865,75815.2040403967,82045.5037670704
"22",-298.559717262839,16112.0352979061,1724.39574938198,16906.4145617929,14067.4368240258,23323.5530843368,103469.508612331,78399.9167713766,84838.6983011561
"23",2298.36092925535,16188.3443451861,2318.94405053488,16994.179032047,15142.0700125694,22850.5248090812,107005.04014489,80809.8800739367,87691.917062308
"24",12943.668378992,17146.4346948488,6234.96310313768,17366.3805029042,19008.7407018207,18657.4127500014,98861.146821204,69122.3716991825,75259.8032151622
"25",13474.0868541973,17965.4410706863,7141.2169968591,17745.3839944847,19872.2766430247,18716.9266468455,100692.341329623,70408.1634009183,75805.7403382788
"26",13987.1296174759,18662.3423087124,7669.09213062695,18080.2817909981,20854.5278050976,18778.7399889832,102514.459745878,71940.7756358039,76765.0858242528
"27",15053.1069260854,19298.7663648381,8587.54893852284,18413.0362497533,21817.5182773143,18830.1064802978,104342.571169265,72978.1096753583,77341.9859809891
"28",16122.3544393893,19879.9518555341,9430.20309439444,18738.1026948088,22718.981795135,18882.8713938532,106171.249010396,74005.0531167543,78002.9432211926
"29",17273.2011829155,20418.6441260219,10305.7451262074,19060.8172742494,22339.4556645027,18564.0829896984,107997.891246883,74081.4186127499,78631.3288464262
"30",19912.2138114985,21027.1108600994,11083.3882872552,19377.5074918197,24728.6762725473,18500.2080064553,105780.900176504,71070.0437709978,75320.004397429
