"";"Years";"Other Products Production";"Other Products Exports";"Sawnwood Production";"Sawnwood Exports";"Roundwood consumed for lumber and panels";"Log Exports";"Imported logs for lumber and panels";"SP.Production";"SP.Exports";"NSP.Production";"NSP.Exports";"Other Products Production Special";"Sawnwood Prod Special";"SP Prod Special";"NSP Prod Special"
"1";1900;21749255;0;34987066,73;1382617,8;81168592,0608951;200475,306394754;0;0;0;12557,0652173913;0;21749255;35073479,9933629;0;12588,0794487948
"2";1901;22196157,5;0;36479139,91;1283621,7;84738011,2368359;214794,324766666;0;0;0;12557,0652173913;0;22196157,5;36571607,4120179;0;12588,8949276365
"3";1902;22717543,75;0;37971213,09;1198767,9;88378818,7962956;200366,228241912;0;0;0;25114,1304347826;0;22717543,75;38057298,7477655;0;25171,0674210348
"4";1903;23462381,25;0;39463286,27;1574786,7;92233791,5063117;227467,060727113;0;0;0;37671,1956521739;0;23462381,25;39560610,6625883;0;37764,1003892462
"5";1904;23834800;0;40955359,45;1628860,2;95589045,5316961;243749,562149209;0;0;0;50228,2608695652;0;23834800;41059794,5437712;0;50356,3416190525
"6";1905;24430670;0;41409956,5;1482445,8;96945424,8185536;221232,418883913;0;0;0;87899,4565217391;0;24430670;41504455,2848526;0;88100,0457648239
"7";1906;26814150;0;43767172,5;1736175,3;102870660,650615;261335,047944207;0;0;0;150684,782608696;0;26814150;43878359,6553204;0;151067,585777631
"8";1907;31432142,5;0;43744380,65;1888413;102942049,034134;282599,729989828;0;0;0;163241,847826087;0;31432142,5;43864469,0907902;0;163689,984448114
"9";1908;28750727,5;0;39921801,125;1504907,1;94089889,477801;222364,789440059;0;0;0;175798,913043478;0;28750727,5;40016149,2313746;0;176214,382638561
"10";1909;30538337,5;0;42286345,175;1638843;99800960,1593063;232601,936227479;0;0;0;200913,043478261;0;30538337,5;42384900,1963945;0;201381,303130791
"11";1910;30910756,25;0;42207668,725;1948309,8;99943736,926344;259769,872667433;0;3164,77390926112;0;226027,173913043;0;30910756,25;42317373,2554436;3172,99966647926;226614,6549498
"12";1911;30091435;0;40716540,5;2324928,85;96517094,5174407;294817,592304338;0;6329,54781852223;0;200913,043478261;0;30091435;40840911,7577258;6348,88182414644;201526,745123932
"13";1912;30016951,25;0;42541369,875;2599218,325;100943174,295607;312764,94225626;0;9494,32172778335;0;200913,043478261;0;30016951,25;42673181,1558053;9523,73917980697;201535,557649036
"14";1913;29719016,25;0;41526144,125;2711751,3;98730134,4065241;320336,327921352;0;12659,0956370445;0;200913,043478261;0;29719016,25;41660878,3943464;12700,1688943185;201564,918885564
"15";1914;28676243,75;0;38160639,025;1860258,075;91020188,9864918;203163,12345422;0;15823,8695463056;0;213470,108695652;0;28676243,75;38245816,1126731;15859,1894769491;213946,588194647
"16";1915;28080373,75;0;34519723,125;1160250,525;83310243,5664596;147961,385027388;0;18988,6434555667;0;213470,108695652;0;28080373,75;34581031,1445866;19022,3678316482;213849,237739002
"17";1916;28750727,5;0;37314593,925;1115566,15;89592421,3161155;157006,444596162;0;22153,4173648278;0;227385,869565217;16,4721005060876;28750727,5;37379985,9708634;22192,2401719918;227784,352454812
"18";1917;28750727,5;0;33106185,975;1040371,175;80811650,143301;127204,384012655;0;25318,1912740889;0;228744,565217391;32,9442010121753;28750727,5;33158297,9166135;25358,0442522131;229104,6285432
"19";1918;28601760;0;29612631,925;1003406,95;72102267,3540053;107800,574971811;0;28482,9651833501;0;242660,326086956;49,4163015182629;28601760;29656905,966096;28525,5502522577;243023,129139274
"20";1919;28527276,25;0;32283977,675;1421511,05;78170279,9531047;161703,957010277;0;31647,7390926112;0;269133,152173913;65,8884020243505;28527276,25;32350760,6894808;31713,2059765058;269689,884165858
"21";1920;28154857,5;0;32778060,25;1531235,4;78812775,4047741;159273,264932073;0;34812,5130018723;0;207706,52173913;82,3605025304381;28154857,5;32844301,6511858;34882,8658422312;208126,277238098
"22";1921;25622410;0;26877959,1;1185421,55;65391759,3032365;128972,144248433;0;41729,5090493031;0;196508,152173913;98,8326030365258;25622410;26930970,4894332;41811,8121455628;196895,725134454
"23";1922;25249991,25;0;32459840,8;1748569,45;79526659,2399623;186317,482018542;0;48646,505096734;0;235538,043478261;115,304703542613;25249991,25;32535888,70472;48760,4756120963;236089,869188027
"24";1923;25398958,75;0;37962695,5;2208035,5;92662121,8074246;246248,776034862;0;55563,5011441648;0;299682,065217391;131,776804048701;25398958,75;38063581,0303496;55711,1606611506;300478,467677425
"25";1924;24654121,25;0;36799571,725;2457495,55;89306867,7820402;287007,96340645;0;62480,4971915956;0;301040,760869565;148,248904554789;24654121,25;36917835,5315507;62681,2925021573;302008,223930641
"26";1925;22270641,25;0;37930985,1;2357734,975;92947675,3414999;251191,802403669;0;69625,0260037446;0;389511,050724637;855,332397089811;22270641,25;38033493,876892;69813,18816821;390563,707313715
"27";1926;22196157,5;0;36869309,2;2529815,875;90306305,1513036;274460,933318905;0;79990,40750757;0;433427,838164251;1173,98564306445;22196157,5;36981363,2254293;80233,5161350828;434745,12170043
"28";1927;21376836,25;0;34592855,625;2755218,25;85166341,5379488;286809,054531234;0;90355,7890113955;1978,683867866;509759,842995169;2268,96907701335;21376836,25;34709351,6965252;90660,0742248942;511476,527497136
"29";1928;20631998,75;0;33990111,55;2938493,5;84024127,4016477;298672,192464018;0;100721,170515221;3957,367735732;519655,978260869;3514,8935222134;20631998,75;34110932,8123287;101079,194022939;521503,147581799
"30";1929;20557515;0;36150677,275;2897412,3;88807149,0974085;317166,592408862;0;162913,459538174;5936,051603598;643797,342995169;5632,92158797561;20557515;36279786,1051011;163495,290025296;646096,606191375
"31";1930;17801616,25;0;27460181,95;2163241,875;67319245,6582445;232428,467171323;0;138794,986478053;7914,735471464;511981,099033816;6392,48055247754;17801616,25;27554991,8061782;139274,194253522;513748,78048814
"32";1931;14449847,5;0;18672402,025;1580550,55;46116895,7531559;160095,618353291;0;106940,399417516;9893,41933933;424763,345410628;7269,4380812859;14449847,5;18737223,5985147;107311,644903408;426237,918868506
"33";1932;12364302,5;0;12599298,55;1081085,875;31696442,2823548;107440,703064481;0;142207,977948825;11872,103207196;362725,603864734;7509,089118145;12364302,5;12642006,1031781;142690,017068424;363955,12652067
"34";1933;12438786,25;0;15935190,275;1211333,55;39834718,0034999;126960,535881436;0;177475,556480133;13850,787075062;371324,214975845;8520,21643473216;12438786,25;15985978,6424866;178041,203555998;372507,693199915
"35";1934;12736721,25;0;17746308,2;1262948;43618302,3299973;136016,673312616;0;197953,505304764;15829,470942928;393777,415458937;9766,14087993221;12736721,25;17801647,2131207;198570,791531505;395005,347111828
"36";1935;13332591,25;0;21439628,9;1244395,525;52970180,5709623;153289,643071652;0;218431,454129395;17808,154810794;443299,516908212;29689,4338590335;13332591,25;21501672,7334596;219063,569770274;444582,37499909
"37";1936;14524331,25;0;25757224,875;1234143,725;63678438,0987849;159209,65084094;0;318545,870605367;25881,3969211567;511112,560386473;31840,319030725;14524331,25;25821623,4202755;319342,303092565;512390,450590899
"38";1937;15194685;0;27029929,2;1390694,1;67105080,5076881;174898,436722871;0;329922,508841273;20609,4627626378;572987,922705314;48364,9432776106;15194685;27100378,2975354;330782,397997198;574481,322179453
"39";1938;13705010;0;23064880,75;944562,65;57895979,0337607;116127,012068525;0;295792,594133555;0;630904,830917874;29231,1782827807;13705010;23111143,9919369;296385,891124504;632170,291734615
"40";1939;14375363,75;0;26628559,9;1044268,25;66819526,9736128;140282,16823404;0;469627,626378199;0;677935,990338164;37005,8646123636;14375363,75;26684464,3981147;470613,571425624;679359,261872039
"41";1940;14375363,75;0;28664617,175;891846,6;72530597,6551182;127277,271344077;0;523325,358851675;0;791271,256038647;95830,8533493766;14375363,75;28714918,0738773;524243,694365971;792659,785150739
"42";1941;15343652,5;0;33701275,925;648846,05;84880788,0038735;123731,747045129;0;728104,847097982;0;1286597,34299517;127211,056085847;15343652,5;33750402,6808409;729166,214303472;1288472,83143886
"43";1942;14896750;0;33604721,25;432735,3;84952176,3873924;88513,1986171959;0;837320,57416268;0;1565222,58454106;180739,484543289;14896750;33639734,6127291;838192,993510115;1566853,41806879
"44";1943;13705010;0;32177660,8;296040,575;80026377,924594;93539,4309309737;0;655294,362388184;0;1563294,44444444;332147,270872148;13705010;32215271,8997146;656060,308109329;1565121,71285897
"45";1944;13481558,75;0;31254926,75;347049,6;76885289,049766;74959,4215927775;0;655294,362388184;0;1546259,60144927;239074,876222462;13481558,75;31285398,7851586;655933,24255609;1547767,12944051
